,username,tweet,date
148,endahrosriani,@pikiran_rakyat dan banjir SDM Asing menguasai kita ya?,2016-09-20T05:19:17.000Z
149,Bintang33798707,Banjir di sidareja https://t.co/Xgazrvcpiu,2016-09-20T05:18:17.000Z
150,kosim_cepot,Namun sayang sungai citarum tersumbat dan akhirnya mengakibatkan banjir.,2016-09-20T05:17:06.000Z
151,BeritaMemoTimur,Drainase Tak Normal Sebabkan Banjir -  https://t.co/DSXCaMkyYb https://t.co/DKTtCCHCHn,2016-09-20T05:16:23.000Z
152,MrAlpha29,"Politek sabak banjir and all I could think off right now, is my home. Sigh",2016-09-20T05:15:37.000Z
153,SamarindaPos,"Terendam Banjir, Pelajar Terpaksa Belajar di Aula -... https://t.co/EhvFba6CMI",2016-09-20T05:14:57.000Z
154,Bintang33798707,Bantuan nasi kotak buat pengusi korban banjir di Cilacap sidareja https://t.co/P8qFtaix1J,2016-09-20T05:14:09.000Z
155,UmieKamil,"Done makan nasi putih selembik hatiku, tom yam santan banjir. #harifailmasak",2016-09-20T05:13:34.000Z
156,sugiatCwekPesek,Ya allah liat #Ummat brusan bkin banjir air mta ank klas 4 sd krja mengangkat kayu cri uang buat mkn sehari2 & ortunya gk mau mrawatnya,2016-09-20T05:13:32.000Z
157,nurinmohdazhari,"I'm at Selangor Mansion Roti Banjir Special in Kuala Lumpur, WP Kuala Lumpur https://t.co/txwvEhaSGR",2016-09-20T05:12:20.000Z
158,BernamaNews,Kerjasama daripada kerajaan negeri Selangor amat diperlukan bagi mengatasi masalah banjir di negeri ini yang... https://t.co/TIoXbbmBos,2016-09-20T05:09:27.000Z
159,Fanadicky_FCLUB,"Konser dimana yang paling berkesan? |BALI,karna waktu itu hujan deras backstagenya banjir.tapi SB tetap semangat (dicky) #DickyFact",2016-09-20T05:07:52.000Z
160,naemtja,@keistale banjir woy,2016-09-20T05:03:28.000Z
161,KbyLama,Lindungi Rumah Anda dari Ancaman Banjir! https://t.co/mNqpE4Tetg,2016-09-20T05:03:07.000Z
162,atinfatin1,@azmiecumie bodohnyaa hahaha 😂 kalau tak tepis mesti banjir,2016-09-20T05:02:30.000Z
163,SindotrijayaMdn,"Banjir setinggi betis orang dewasa di jl. Pulau Solor, KIM 2 Mabar. (Info: Dody, BBM)

#banjir #medan… [pic] — https://t.co/mPwAPh5Rdp",2016-09-20T05:02:19.000Z
164,ShintaAtatur,Nonton ftv cuma endingnya doang aja bikin brebes mili. Gimana kalo akad woy akad woy bisa banjir 😂😂,2016-09-20T05:02:06.000Z
165,Indoharian,"New Blog Post: Heboh!! Rilis Lagu Terbaru, Awkarin Duet Dengan Young Lex Banjir Sindiran Netizen https://t.co/9VqtghkjjJ",2016-09-20T05:01:42.000Z
166,GoSumutdotcom,"Hujan Deras Senin Malam, Jalan Sisingamangaraja Medan Banjir https://t.co/pLbrRBRLDL (https://t.co/RLy9T7CNBQ)",2016-09-20T05:01:39.000Z
167,okezonenews,"NEKAT TEROBOS BANJIR MENTENG
Sejumlah pengendara nekat menerobos genangan air di Jalan Gereja… https://t.co/K7uQ1pqFOW",2016-09-20T05:01:14.000Z
168,arrazy1928,Gubernur lg sibuk ngurusin banjir di kantornye https://t.co/3EUAxglyAF,2016-09-20T05:01:02.000Z
169,DarlinaZaqirah,@NabilahAdleenaa takda kaitan. Sebelum banjir tu aku cam cepat2 amek mcm ada kaitan nak sumbat pintu ke camtu ah hahaha,2016-09-20T05:00:36.000Z
170,QuranHaditsID,Brgsiapa mngumpulkn harta dgn tdk swajarnya(tdk bnr) maka Allah akn mmusnahkannya dgn air(banjir)&tanah(longsor) (HR.AlBaihaqi),2016-09-20T05:00:16.000Z
171,Rumahcom,"1. Pesona Aqilla Raya. rumah murah di Cikarang suasana aman, nyaman dan bebas banjir. #rumah #tipsrumah #properti #beritaproperti",2016-09-20T05:00:14.000Z
172,arrazy1928,Gubernur lg sibuk nguruain banjir di kantornye https://t.co/3EUAxglyAF,2016-09-20T04:59:51.000Z
173,rachmayany,"Capeknya badan ini ,, sakit smua :( gegara nguras banjir yg masuk kerumah :( #lelah#letih#lemas",2016-09-20T04:59:16.000Z
174,BuletinTV3,"Persediaan Rapi Hadapi Banjir

Kementerian Pendidikan telah melakukan persediaan rapi bagi menghadapi banjir... https://t.co/R7joaWM0dX",2016-09-20T04:58:42.000Z
175,tantanamels,"Beruntung ngga banjir parah sampe… (w/ Nurul, Ria, & Abay at Laboratorium Farmasi Fakultas Kedokteran Unissula) — https://t.co/UgEFckz6qD",2016-09-20T04:58:34.000Z
176,suaranasional,"Banjir Balai Kota, Bukti Nyata Allah Tegur Kesombongan Ahok https://t.co/m0dt1SNlrY https://t.co/6xNSy09NhM",2016-09-20T04:58:28.000Z
177,SPVibes1,"@ramlalpogo ouh, yeke..sbb hari2 lepas banjir kilat kan penang..jga diri elok2 tau ms.pogo! Jgn syok sgt men ayaq! 😂😄",2016-09-20T04:57:43.000Z
178,inalthorra,Hujan tak berarti banjir *eh apakah 😂,2016-09-20T04:57:40.000Z
